INPUT_TABLE,,,,,,
Variable ID,,,,,,
SubsectorInterp,,,,,,
,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,interpolation.function
Africa_Eastern,electricity,offshore wind,share-weight,2010,2100,linear
Africa_Northern,electricity,offshore wind,share-weight,2010,2100,linear
Africa_Southern,electricity,offshore wind,share-weight,2010,2100,linear
Africa_Western,electricity,offshore wind,share-weight,2010,2100,linear
Australia_NZ,electricity,offshore wind,share-weight,2010,2100,linear
Brazil,electricity,offshore wind,share-weight,2010,2100,linear
Canada,electricity,offshore wind,share-weight,2010,2100,linear
Central America and Caribbean,electricity,offshore wind,share-weight,2010,2100,linear
China,electricity,offshore wind,share-weight,2010,2100,linear
EU-12,electricity,offshore wind,share-weight,2010,2100,linear
EU-15,electricity,offshore wind,share-weight,2010,2100,linear
Europe_Eastern,electricity,offshore wind,share-weight,2010,2100,linear
Europe_Non_EU,electricity,offshore wind,share-weight,2010,2100,linear
European Free Trade Association,electricity,offshore wind,share-weight,2010,2100,linear
India,electricity,offshore wind,share-weight,2010,2100,linear
Indonesia,electricity,offshore wind,share-weight,2010,2100,linear
Japan,electricity,offshore wind,share-weight,2010,2100,linear
Mexico,electricity,offshore wind,share-weight,2010,2100,linear
Middle East,electricity,offshore wind,share-weight,2010,2100,linear
Pakistan,electricity,offshore wind,share-weight,2010,2100,linear
Russia,electricity,offshore wind,share-weight,2010,2100,linear
South Africa,electricity,offshore wind,share-weight,2010,2100,linear
South America_Northern,electricity,offshore wind,share-weight,2010,2100,linear
South America_Southern,electricity,offshore wind,share-weight,2010,2100,linear
South Asia,electricity,offshore wind,share-weight,2010,2100,linear
South Korea,electricity,offshore wind,share-weight,2010,2100,linear
Southeast Asia,electricity,offshore wind,share-weight,2010,2100,linear
Taiwan,electricity,offshore wind,share-weight,2010,2100,linear
Argentina,electricity,offshore wind,share-weight,2010,2100,linear
Colombia,electricity,offshore wind,share-weight,2010,2100,linear
