INPUT_TABLE,,,,,,
Variable ID,,,,,,
GlobalTechOMfixed,,,,,,
,,,,,,
sector.name,subsector.name,technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,offshore wind,offshore_wind_storage_usa,1975,OM-fixed,166.373,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,1990,OM-fixed,166.373,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2005,OM-fixed,166.373,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2010,OM-fixed,166.373,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2015,OM-fixed,166.373,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2020,OM-fixed,159.1277242,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2025,OM-fixed,153.2241661,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2030,OM-fixed,147.8572952,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2035,OM-fixed,143.5637984,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2040,OM-fixed,139.8069887,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2045,OM-fixed,136.3185226,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2050,OM-fixed,133.6350871,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2055,OM-fixed,131.2199952,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2060,OM-fixed,129.0732468,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2065,OM-fixed,127.1948419,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2070,OM-fixed,125.8531242,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2075,OM-fixed,124.5114065,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2080,OM-fixed,123.1696887,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2085,OM-fixed,122.3646581,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2090,OM-fixed,121.5596274,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2095,OM-fixed,120.7545968,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2100,OM-fixed,120.2179097,0.459157318
