INPUT_TABLE,,,,,,
Variable ID,,,,,,
GlobalTechOMfixed,,,,,,
,,,,,,
sector.name,subsector.name,technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,offshore wind,offshore_wind_storage_usa,1975,OM-fixed,149.423,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,1990,OM-fixed,149.423,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2005,OM-fixed,149.423,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2010,OM-fixed,149.423,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2015,OM-fixed,149.423,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2020,OM-fixed,112.06725,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2025,OM-fixed,84.0504375,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2030,OM-fixed,63.03782813,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2035,OM-fixed,59.88593672,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2040,OM-fixed,56.89163988,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2045,OM-fixed,54.04705789,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2050,OM-fixed,51.34470499,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2055,OM-fixed,48.77746974,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2060,OM-fixed,46.33859626,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2065,OM-fixed,44.02166644,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2070,OM-fixed,41.82058312,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2075,OM-fixed,39.72955397,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2080,OM-fixed,37.74307627,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2085,OM-fixed,35.85592245,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2090,OM-fixed,34.06312633,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2095,OM-fixed,32.35997002,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2100,OM-fixed,30.74197151,0.528246943
